Date,Precip in.,24-hr Snowfall in.,Snowpack Depth in.
1/1/2017,0.01,0.2,4
1/2/2017,0,0,4
1/3/2017,T,T,3
1/4/2017,0.2,0.5,3
1/5/2017,0.02,0.2,2.5
1/6/2017,0.03,1.7,4
1/7/2017,T,T,3
1/8/2017,0,0,3
1/9/2017,0.02,0.3,3.5
1/10/2017,0,0,3.5
1/11/2017,0.07,0.1,2
1/12/2017,0.07,0,1
1/13/2017,0.14,0.2,T
1/14/2017,T,T,T
1/15/2017,T,1,1
1/16/2017,T,0.5,1
1/17/2017,0,0,T
1/18/2017,0.08,1,1
1/19/2017,0.05,0.1,0.5
1/20/2017,0.02,T,T
1/21/2017,0.01,0,T
1/22/2017,0.02,0,T
1/23/2017,0.01,0,0
1/24/2017,0.42,T,T
1/25/2017,0.43,2.5,2.5
1/26/2017,0.08,T,2.5
1/27/2017,0.24,1.5,3
1/28/2017,0.1,1.5,4
1/29/2017,T,T,4
1/30/2017,T,T,4
1/31/2017,0.02,0.3,4
2/1/2017,0.03,0.9,4
2/2/2017,0.05,0.6,5
2/3/2017,0.1,2.8,7
2/4/2017,0.06,1.3,7
2/5/2017,T,T,6
2/6/2017,0.02,0.5,6
2/7/2017,0.19,4.5,10
2/8/2017,0.09,0.5,7
2/9/2017,0.07,0.7,5
2/10/2017,0.14,1.3,7
2/11/2017,0.07,0.9,8
2/12/2017,0.01,0.1,7
2/13/2017,0.3,5.6,12
2/14/2017,0.05,3,13
2/15/2017,0.01,0.3,12
2/16/2017,0.54,6.6,18
2/17/2017,0.14,6.6,21
2/18/2017,T,T,18
2/19/2017,0,0,13
2/20/2017,0,0,10
2/21/2017,0,0,10
2/22/2017,0,0,9
2/23/2017,0,0,6
2/24/2017,0,0,4
2/25/2017,0.03,0,2
2/26/2017,0.79,1.2,1
2/27/2017,T,T,0.5
2/28/2017,0,0,0.5
3/1/2017,T,0,0
3/2/2017,0.37,0.2,T
3/3/2017,0.02,0.5,T
3/4/2017,0.03,0.9,1
3/5/2017,T,0.2,1
3/6/2017,0,0,1
3/7/2017,0.14,0.1,T
3/8/2017,0.43,T,T
3/9/2017,0.14,2.5,2.5
3/10/2017,T,0.1,1
3/11/2017,0.02,0.9,1.5
3/12/2017,T,T,1.5
3/13/2017,0,0,1
3/14/2017,0,0,1
3/15/2017,1.36,22.1,21.5
3/16/2017,0.28,12,25
3/17/2017,T,T,19
3/18/2017,0,0,16
3/19/2017,0,0,12
3/20/2017,0,0,10
3/21/2017,0,0,9
3/22/2017,0.24,3.7,12
3/23/2017,T,T,10
3/24/2017,0,0,9
3/25/2017,0.68,5.9,15
3/26/2017,0,0,13
3/27/2017,0.14,T,11
3/28/2017,0.24,0,9
3/29/2017,0.15,0,8
3/30/2017,0.01,T,7.5
3/31/2017,0,0,6
4/1/2017,0.35,2.8,9
4/2/2017,0.25,1.5,8
4/3/2017,0,0,7
4/4/2017,0.18,0,6
4/5/2017,0.12,0,1
4/6/2017,0.02,0,T
4/7/2017,0.79,0,T
4/8/2017,0.55,3.5,3.5
4/9/2017,T,T,2
4/10/2017,0,0,T
4/11/2017,T,0,0
4/12/2017,0.12,0,0
4/13/2017,T,0,0
4/14/2017,0,0,0
4/15/2017,0,0,0
4/16/2017,0.45,0,0
4/17/2017,0.18,0,0
4/18/2017,0,0,0
4/19/2017,0,0,0
4/20/2017,0.54,0,0
4/21/2017,0.26,0,0
4/22/2017,0.14,0,0
4/23/2017,0.03,0,0
4/24/2017,0,0,0
4/25/2017,0,0,0
4/26/2017,0.27,0,0
4/27/2017,0.04,0,0
4/28/2017,T,0,0
4/29/2017,0,0,0
4/30/2017,0,0,0
5/1/2017,0.36,T,0
5/2/2017,0.71,0,0
5/3/2017,0.42,0,0
5/4/2017,0.08,0,0
5/5/2017,0.09,NA,NA
5/6/2017,0.28,0,0
5/7/2017,0.32,0,0
5/8/2017,0.18,0,0
5/9/2017,0.09,T,T
5/10/2017,0.05,0,0
5/11/2017,0,0,0
5/12/2017,0,0,0
5/13/2017,0,0,0
5/14/2017,0.05,0,0
5/15/2017,0.5,0,0
5/16/2017,0.02,0,0
5/17/2017,0,0,0
5/18/2017,0,0,NA
5/19/2017,0.01,0,0
5/20/2017,0.06,0,0
5/21/2017,0,0,0
5/22/2017,0.38,0,0
5/23/2017,0.4,0,0
5/24/2017,0,0,0
5/25/2017,0,0,0
5/26/2017,0.37,0,0
5/27/2017,0.36,0,0
5/28/2017,0,0,0
5/29/2017,0,0,0
5/30/2017,0.27,0,0
5/31/2017,0.44,0,0
6/1/2017,0.18,0,0
6/2/2017,0.01,0,NA
6/3/2017,0.23,0,0
6/4/2017,0.12,0,0
6/5/2017,T,0,0
6/6/2017,0.24,0,0
6/7/2017,0.59,0,0
6/8/2017,0,0,0
6/9/2017,T,0,0
6/10/2017,T,0,0
6/11/2017,0,0,0
6/12/2017,T,0,0
6/13/2017,0,0,0
6/14/2017,0,0,0
6/15/2017,0,0,0
6/16/2017,0.12,0,0
6/17/2017,0.29,0,0
6/18/2017,0,0,0
6/19/2017,0.56,0,0
6/20/2017,0.73,0,0
6/21/2017,0.24,0,0
6/22/2017,0.33,0,0
6/23/2017,0.68,0,0
6/24/2017,1.25,NA,NA
6/25/2017,T,0,0
6/26/2017,0.03,0,0
6/27/2017,0.03,0,0
6/28/2017,0.22,0,0
6/29/2017,0.13,0,0
6/30/2017,1.85,0,0
7/1/2017,0.38,0,0
7/2/2017,0.08,0,0
7/3/2017,0.1,0,0
7/4/2017,0,0,0
7/5/2017,0,0,0
7/6/2017,0,0,0
7/7/2017,0,0,0
7/8/2017,0.03,0,0
7/9/2017,1.02,0,0
7/10/2017,0.12,0,0
7/11/2017,0.12,0,0
7/12/2017,0.01,0,0
7/13/2017,0.09,0,0
7/14/2017,0.05,0,0
7/15/2017,0.37,0,0
7/16/2017,T,0,0
7/17/2017,0,0,0
7/18/2017,0.3,0,0
7/19/2017,0,0,0
7/20/2017,T,0,0
7/21/2017,0,0,0
7/22/2017,0,0,0
7/23/2017,0,0,0
7/24/2017,0,0,0
7/25/2017,0.62,0,0
7/26/2017,0.01,0,0
7/27/2017,0.06,0,0
7/28/2017,0.31,0,0
7/29/2017,0,0,0
7/30/2017,0,0,0
7/31/2017,0,0,NA
8/1/2017,0,0,NA
8/2/2017,0,0,NA
8/3/2017,0,0,NA
8/4/2017,0.01,0,0
8/5/2017,0.01,NA,NA
8/6/2017,1.36,0,0
8/7/2017,0,0,0
8/8/2017,0.67,0,0
8/9/2017,0.05,0,0
8/10/2017,0,0,0
8/11/2017,0.03,0,0
8/12/2017,0.25,0,0
8/13/2017,0.38,0,0
8/14/2017,0,0,0
8/15/2017,0,0,0
8/16/2017,0.33,0,0
8/17/2017,0,0,0
8/18/2017,0.08,0,0
8/19/2017,0.73,0,0
8/20/2017,0.06,0,0
8/21/2017,0,0,0
8/22/2017,0,0,0
8/23/2017,0.88,0,0
8/24/2017,0.01,0,0
8/25/2017,0.03,0,0
8/26/2017,0,0,NA
8/27/2017,0,0,NA
8/28/2017,0,0,0
8/29/2017,0,0,0
8/30/2017,0,0,NA
8/31/2017,0,0,0
9/1/2017,0.02,0,0
9/2/2017,0,0,0
9/3/2017,0.01,0,0
9/4/2017,1.4,0,0
9/5/2017,0.18,0,0
9/6/2017,1.11,0,0
9/7/2017,0.63,0,0
9/8/2017,0.11,0,0
9/9/2017,0.2,0,0
9/10/2017,0.04,0,0
9/11/2017,0,0,0
9/12/2017,0,0,0
9/13/2017,0,0,0
9/14/2017,0,0,0
9/15/2017,0,0,0
9/16/2017,0,0,0
9/17/2017,0,0,0
9/18/2017,0,0,0
9/19/2017,0,0,0
9/20/2017,0,0,0
9/21/2017,0,0,0
9/22/2017,0,0,0
9/23/2017,0,0,0
9/24/2017,0,0,0
9/25/2017,0,0,0
9/26/2017,0,0,NA
9/27/2017,0,0,0
9/28/2017,0.37,0,0
9/29/2017,0,0,0
9/30/2017,0.03,0,0
10/1/2017,0,0,0
10/2/2017,0,0,0
