date,temperatureMax,temperatureMin,rainTotal,rainPercent,barometerMax,barometerMin,cloudMax,cloudMin,humidityMax,humidityMin
2017-01-01,34.076,29.12,0.0,0.0,30.165,29.499,,,87.0,64.655
2017-01-02,40.764,14.106,0.026,0.35,30.314,30.165,,,85.0,79.0
2017-01-03,38.42,18.68,0.026,0.35,30.3,29.512,,,86.0,72.0
2017-01-04,38.219,31.376,0.259,3.47,29.512,29.118,,,86.0,74.0
2017-01-05,31.28,20.48,0.0,0.0,29.547,29.242,,,74.0,52.0
2017-01-06,26.134,9.32,0.0,0.0,29.91,29.547,,,70.0,48.0
2017-01-07,26.643,5.9,0.0,0.0,30.095,29.91,,,69.0,56.0
2017-01-08,14.36,-7.42,0.0,0.0,30.089,29.86,,,63.0,56.0
2017-01-09,15.62,-9.58,0.0,0.0,30.32,30.089,,,62.0,52.233
2017-01-10,31.28,11.66,0.0,0.0,30.252,29.908,,,59.0,44.0
2017-01-11,48.914,29.3,0.078,1.04,29.993,29.589,,,86.0,56.0
2017-01-12,49.572,37.04,0.104,1.39,29.977,29.591,,,88.0,76.0
2017-01-13,47.586,14.72,0.129,1.74,30.48,29.624,,,93.0,73.207
2017-01-14,19.692,-0.04,0.0,0.0,30.528,30.095,,,74.0,68.0
2017-01-15,24.726,12.74,0.0,0.0,30.183,29.969,,,76.0,62.0
2017-01-16,37.4,6.62,0.0,0.0,30.2,29.971,,,76.6,59.2
2017-01-17,44.023,14.9,0.0,0.0,30.045,29.807,,,78.0,62.0
2017-01-18,38.84,32.068,0.078,1.04,29.82,29.698,,,78.0,63.0
2017-01-19,35.78,32.18,0.129,1.74,29.816,29.715,,,85.0,77.0
2017-01-20,41.354,31.28,0.0,0.0,29.864,29.67,,,85.0,68.414
2017-01-21,40.1,32.54,0.0,0.0,29.681,29.536,,,85.0,75.0
2017-01-22,36.32,33.98,0.052,0.69,29.746,29.608,,,87.0,85.0
2017-01-23,38.12,28.94,0.0,0.0,29.833,29.737,,,87.0,69.0
2017-01-24,33.62,28.436,0.388,4.51,29.746,29.32,,,85.0,73.0
2017-01-25,30.74,25.52,0.0,0.0,29.371,29.297,,,85.0,81.621
2017-01-26,35.78,28.94,0.026,0.35,29.334,29.006,,,89.0,83.0
2017-01-27,32.18,29.691,0.0,0.0,29.218,29.093,,,90.0,79.0
